Ward,Neighbourhood Number,Neighbourhood Name,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85+,No Response
WARD 1,3140,CRESTWOOD,68,83,97,99,76,62,59,74,77,110,116,148,98,100,91,80,64,49,800
WARD 1,3330,PARKVIEW,126,162,138,165,155,96,128,149,164,164,218,247,197,146,89,90,82,64,705
WARD 11,6110,CPR IRVINE,0,1,0,0,18,44,39,4,1,1,6,1,0,1,0,0,2,0,48
WARD 9,5350,RHATIGAN RIDGE,73,130,117,112,112,84,56,83,107,103,142,185,205,171,102,74,42,39,1140
WARD 5,4140,ELMWOOD,131,121,130,169,180,185,173,135,154,154,161,133,145,140,92,117,60,51,290
WARD 8,6350,KENILWORTH,72,76,84,100,97,135,130,103,121,123,325,449,114,90,92,139,127,73,103
WARD 4,2110,BRINTNELL,467,559,394,325,267,421,546,562,473,361,297,193,147,107,45,38,14,3,1263
WARD 4,2270,EVERGREEN,61,66,63,34,50,40,43,71,61,74,107,83,76,101,61,47,16,3,447
WARD 8,6380,LAMBTON INDUSTRIAL,0,0,0,36,70,64,55,12,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1010,ALBERTA AVENUE,256,251,183,202,317,418,518,396,326,332,425,362,272,207,139,78,64,41,1968
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4551,GRANVILLE,108,89,71,45,36,86,152,147,97,58,45,49,33,32,4,2,1,1,513
WARD 12,6140,CRAWFORD PLAINS,221,220,200,250,261,212,275,236,216,240,277,256,207,130,61,31,26,14,946
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6443,TAMARACK,505,442,316,236,209,364,582,571,416,236,154,106,88,91,36,13,3,13,196
WARD 9,5401,RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4240,LA PERLE,205,214,216,213,224,243,225,226,225,196,235,272,269,150,98,68,56,57,1455
WARD 1,3380,RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5451,RICHFORD,21,33,25,33,48,42,45,35,27,61,67,64,52,45,49,27,22,13,49
WARD 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,4016,ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2660,RUNDLE HEIGHTS,132,169,178,132,85,167,286,253,221,237,136,117,141,120,93,72,32,23,815
WARD 1,4487,SECORD,262,189,108,93,75,205,360,694,239,106,105,78,63,17,10,5,1,1,560
WARD 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6720,TAWA,71,63,52,64,76,95,92,113,85,83,110,131,130,154,105,109,91,58,350
WARD 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2611,CY BECKER,73,51,33,16,29,69,60,54,24,30,19,24,3,3,1,2,0,0,192
WARD 1,4620,WESTVIEW VILLAGE,59,47,38,46,60,63,59,56,50,79,107,116,109,83,65,41,26,8,1045
WARD 6,1090,DOWNTOWN,116,62,38,138,1106,1837,1305,763,415,374,363,382,361,294,180,166,132,381,4355
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6450,MENISA,75,172,188,156,155,155,193,177,156,164,157,181,202,166,73,65,37,26,125
WARD 1,4350,NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2590,OVERLANDERS,173,163,112,131,165,197,237,164,126,132,120,147,139,103,45,30,18,11,724
WARD 5,4560,THORNCLIFF,139,145,148,140,169,183,187,170,156,145,148,120,113,86,90,49,28,24,1314
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4750,ROSENTHAL,79,63,49,49,50,80,89,94,90,44,28,44,27,19,9,1,3,0,643
WARD 8,6061,CAPILANO,72,72,82,83,89,43,61,88,71,110,153,174,155,102,81,66,64,60,908
WARD 5,4080,CALLINGWOOD SOUTH,249,205,161,140,206,294,296,261,194,178,210,145,165,146,101,98,82,76,2301
WARD 11,6600,RICHFIELD,206,233,284,224,169,161,256,232,193,164,139,148,105,122,91,43,35,14,501
WARD 4,2080,BELVEDERE,206,196,189,186,227,292,280,235,209,232,241,285,191,237,203,223,99,68,1370
WARD 12,6150,DALY GROVE,141,186,204,187,178,242,186,197,223,186,208,238,205,124,75,36,15,10,595
WARD 8,5330,QUEEN ALEXANDRA,127,105,73,121,449,762,483,289,225,155,179,154,167,138,94,73,39,50,1475
WARD 12,6442,SILVER BERRY,301,393,270,246,214,271,339,401,328,254,247,186,140,111,72,25,18,12,5173
WARD 5,4270,LYMBURN,250,295,266,317,376,359,346,294,295,324,423,403,329,223,124,62,36,46,924
WARD 1,4410,POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2461,CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2360,INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5453,BLACKMUD CREEK,130,194,188,149,137,126,130,171,203,200,237,165,118,101,80,42,22,11,359
WARD 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3390,ROSSLYN,99,141,114,120,132,145,144,145,158,161,210,186,159,163,177,162,178,166,215
WARD 7,1080,DELTON,67,78,77,81,116,131,135,113,104,123,148,148,95,85,62,34,19,33,339
WARD 9,5467,CAVANAGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3190,ELSINORE,61,145,125,161,130,78,85,125,112,162,192,165,130,158,94,69,26,36,256
WARD 7,2330,HIGHLANDS,90,109,81,86,103,110,131,163,114,137,179,190,181,161,94,65,39,79,433
WARD 9,5454,RUTHERFORD,745,797,540,441,484,725,853,893,833,666,440,370,390,287,137,122,51,38,2031
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,15,7,18,9,10,15,14,12,0,0,0,0,0,0,0
WARD 4,2390,KERNOHAN,124,107,107,124,121,139,134,123,120,130,148,179,203,175,90,53,33,24,858
WARD 10,5470,STEINHAUER,88,113,115,129,142,107,124,107,118,120,161,121,162,123,105,62,42,24,164
WARD 2,4050,BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5290,MCKERNAN,79,61,43,68,323,288,147,139,110,70,73,97,86,67,52,30,17,13,692
WARD 12,6770,WEINLOS,84,105,131,171,160,175,162,148,149,140,174,249,251,121,89,51,23,33,892
WARD 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5505,AMBLESIDE,360,237,131,118,186,360,510,344,234,194,128,119,102,86,48,33,14,7,1226
WARD 9,5590,BLACKBURNE,46,63,62,79,70,69,55,62,73,105,125,101,114,85,81,39,29,30,122
WARD 2,3290,MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5151,STRATHCONA JUNCTION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5130,CARTER CREST,39,61,64,78,69,47,31,60,38,82,111,118,109,94,72,37,35,20,457
WARD 6,1140,MCCAULEY,117,95,79,95,156,212,288,254,245,201,302,297,295,230,143,100,62,49,1579
WARD 7,2010,ABBOTTSFIELD,184,178,136,97,109,128,172,182,137,85,72,73,70,46,29,8,4,5,192
WARD 11,6400,LEE RIDGE,89,104,102,111,89,101,97,102,100,92,93,141,139,130,89,49,24,19,1041
WARD 7,1100,EASTWOOD,145,132,123,165,193,218,187,173,187,197,243,236,195,169,113,80,39,60,1160
WARD 10,5460,SKYRATTLER,97,89,55,61,152,154,177,129,111,99,103,131,125,91,73,34,18,10,372
WARD 6,3440,WESTMOUNT,247,201,161,168,285,450,471,424,338,288,367,342,308,181,148,79,46,51,1332
WARD 9,5570,WINDERMERE,621,409,272,269,257,397,637,505,418,354,258,251,151,133,61,33,19,21,3062
WARD 9,5610,HADDOW,175,231,257,218,157,141,201,217,271,291,261,191,173,162,121,103,44,31,947
WARD 9,5469,PAISLEY,23,21,18,8,16,55,58,36,16,25,3,8,3,2,4,0,0,1,187
WARD 9,5465,HAYS RIDGE AREA,6,4,10,8,5,3,9,15,8,8,10,5,8,9,2,0,2,1,47
WARD 1,4630,WHITE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2251,EBBERS,14,6,8,4,5,10,21,13,9,2,2,2,1,0,1,1,0,0,26
WARD 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4300,MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3450,WOODCROFT,75,71,65,70,76,66,100,95,80,75,105,112,127,162,105,101,88,159,412
WARD 3,2600,OZERNA,92,142,168,196,225,142,122,112,170,212,274,243,200,152,84,47,34,13,1762
WARD 10,5020,ASPEN GARDENS,59,92,119,114,92,55,64,80,93,121,145,111,90,82,55,68,51,35,124
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6444,LAUREL,508,455,399,337,293,577,698,713,591,337,215,139,111,123,63,29,8,13,1442
WARD 4,2690,RURAL NORTH EAST SOUTH STURGEON,11,24,29,32,38,12,10,26,29,39,57,40,27,15,7,6,4,3,243
WARD 9,5466,CASHMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2440,KLARVATTEN,342,373,296,269,247,311,391,370,379,319,311,252,156,90,55,27,19,21,1502
WARD 10,5490,SWEET GRASS,119,152,168,150,167,129,170,169,181,153,158,171,194,197,136,66,26,25,146
WARD 7,2290,GLENGARRY,125,109,105,113,129,155,151,103,104,126,182,211,179,137,139,181,107,101,552
WARD 6,3210,GROVENOR,95,105,73,79,86,107,142,117,99,116,147,146,120,104,54,31,33,32,474
WARD 1,4340,MORIN INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3030,BATURYN,177,198,251,239,211,242,223,249,221,212,268,312,307,271,145,124,51,39,1178
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4700,BRECKENRIDGE GREENS,86,93,111,88,84,100,97,123,125,167,139,128,88,71,53,46,20,14,257
WARD 9,5405,RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6310,HOLYROOD,130,127,114,143,113,136,143,162,134,161,174,202,163,152,88,110,44,83,1040
WARD 3,4017,ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3280,LORELEI,290,255,207,182,203,266,293,254,194,220,202,178,195,182,122,96,46,34,715
WARD 7,2100,BEVERLY HEIGHTS,101,117,78,98,114,156,127,192,159,154,189,243,178,163,132,139,121,124,599
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,3310,NORTH GLENORA,116,127,76,83,98,123,124,145,125,95,153,119,107,81,36,31,25,45,206
WARD 2,1280,YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6580,POLLARD MEADOWS,318,350,205,216,264,447,543,322,273,236,207,257,249,158,113,63,26,37,286
WARD 1,4030,ARMSTRONG INDUSTRIAL,0,0,0,1,18,24,21,16,26,25,17,12,0,0,0,0,0,0,0
WARD 2,3070,CALDER,176,173,113,116,173,189,185,196,191,168,236,269,218,98,87,64,51,50,1251
WARD 8,6070,CLOVERDALE,19,24,25,30,19,49,67,59,47,50,59,62,81,34,18,16,8,10,238
WARD 9,5620,HODGSON,103,165,150,171,170,131,103,143,209,216,217,185,140,101,90,72,38,25,285
WARD 1,4490,SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5565,WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5576,KESWICK AREA,74,40,22,14,20,50,96,83,40,39,17,18,13,4,2,2,0,0,55
WARD 11,6020,AVONMORE,81,82,71,69,57,79,97,104,103,92,104,128,127,97,63,52,54,63,644
WARD 8,6040,BONNIE DOON,146,134,125,125,338,397,252,227,188,201,232,252,217,173,111,101,87,79,1154
WARD 7,2650,RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2340,HOLLICK-KENYON,402,408,344,326,461,534,415,388,334,390,366,295,198,147,100,60,23,19,926
WARD 10,5180,ERMINESKIN,222,184,166,166,289,413,419,352,244,226,238,260,260,203,185,172,163,195,884
WARD 12,6390,LARKSPUR,239,278,281,308,324,364,323,297,296,314,342,345,291,168,85,60,31,28,740
WARD 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5070,BLUE QUILL ESTATES,73,88,53,55,62,85,81,104,90,72,74,58,87,61,45,26,15,6,84
WARD 4,2311,GORMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2260,EVANSDALE,358,349,282,254,273,292,256,291,235,290,241,248,209,208,194,139,99,76,1510
WARD 2,1250,WESTWOOD,78,61,40,93,217,245,207,173,160,127,164,171,126,84,56,37,22,27,1029
WARD 1,4290,MAYFIELD,68,86,57,88,69,87,91,92,84,99,134,138,125,71,60,43,35,40,496
WARD 4,2500,MATT BERRY,150,245,254,301,264,190,179,212,313,262,324,343,204,145,119,89,38,35,350
WARD 4,2120,CANON RIDGE,113,85,68,69,99,206,168,168,112,96,114,109,97,65,47,34,26,14,457
WARD 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4070,CALLINGWOOD NORTH,149,134,109,97,123,180,222,180,148,100,114,120,103,73,49,29,17,18,411
WARD 4,2720,YORK,191,188,205,233,273,276,253,239,234,216,284,231,192,165,129,144,87,51,310
WARD 12,6216,THE ORCHARDS AT ELLERSLIE,245,132,76,55,93,281,296,213,162,57,70,40,22,16,19,0,1,0,285
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4475,KINOKAMAU PLAINS AREA,0,6,2,6,7,4,1,4,9,4,11,21,27,5,2,0,1,0,2
WARD 5,4360,OLESKIW,55,55,73,103,112,53,56,51,58,82,118,170,163,190,82,65,34,30,1252
WARD 4,2430,KIRKNESS,220,234,166,195,226,306,294,228,210,190,229,229,222,133,71,36,14,13,771
WARD 1,4600,WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,1190,RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6180,EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2670,RURAL NORTH EAST HORSE HILL,7,8,17,45,33,31,32,40,31,34,39,40,43,37,50,0,2,1,105
WARD 6,1220,ROSSDALE,18,13,23,16,51,51,63,51,33,60,61,76,68,56,14,6,3,9,190
WARD 3,3490,GOODRIDGE CORNERS,0,0,38,72,95,113,93,99,112,121,88,123,106,103,90,126,100,211,0
WARD 6,3300,MCQUEEN,62,72,60,93,106,67,84,67,65,89,104,110,102,54,58,53,52,112,317
WARD 11,6250,GAINER INDUSTRIAL,7,9,5,5,41,66,43,36,22,13,27,19,12,19,11,5,11,10,48
WARD 3,3120,CHAMBERY,119,235,204,186,113,67,120,225,255,192,165,123,101,54,29,30,9,7,379
WARD 2,3350,PRINCE CHARLES,31,26,62,38,43,39,34,55,35,59,66,44,52,36,26,12,4,8,611
WARD 3,3180,DUNLUCE,280,309,297,300,345,357,356,321,274,279,361,419,367,269,143,115,51,48,1432
WARD 9,5577,GLENRIDDING AREA,129,64,46,37,34,110,137,89,65,45,32,23,6,5,10,2,1,1,538
WARD 11,6520,MILL WOODS TOWN CENTRE,40,26,19,19,33,77,88,75,47,41,38,43,54,69,60,93,98,127,133
WARD 2,3160,DOMINION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2030,BANNERMAN,173,194,183,163,155,220,236,178,141,163,189,200,212,137,71,31,18,18,347
WARD 10,5270,LENDRUM PLACE,67,59,47,69,65,55,58,97,67,96,127,128,78,61,69,59,49,38,431
WARD 11,6670,SAKAW,171,238,229,245,293,238,271,245,254,235,221,248,241,187,101,78,57,42,390
WARD 3,2450,LAGO LINDO,121,151,141,120,162,194,156,125,115,155,245,281,247,135,89,33,19,16,1428
WARD 10,5430,ROYAL GARDENS,130,165,151,194,203,206,207,163,165,192,202,171,125,127,121,100,51,55,665
WARD 11,6610,RITCHIE,150,106,88,87,217,444,383,312,216,185,208,238,201,144,89,48,39,67,757
WARD 10,5250,KEHEEWIN,41,58,54,65,81,62,63,72,59,57,119,134,140,122,84,106,81,98,1006
WARD 2,3010,ATHLONE,99,143,144,183,177,161,182,158,157,187,265,257,199,111,84,69,40,44,498
WARD 8,5200,GARNEAU,116,97,50,259,2084,1737,860,409,263,180,156,142,181,143,128,89,69,150,2677
WARD 8,6240,FULTON PLACE,54,84,47,59,70,59,70,81,74,81,97,116,86,102,52,56,69,71,673
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2130,CASSELMAN,259,218,194,225,241,299,275,247,199,223,228,222,194,160,108,62,31,14,246
WARD 10,5320,PLEASANTVIEW,151,121,97,118,191,266,254,187,172,143,179,169,135,136,110,123,107,168,1075
WARD 1,4486,STEWART GREENS,13,8,7,10,11,32,19,8,12,77,3,2,2,0,0,0,0,0,40
WARD 10,5010,ALLENDALE,75,63,81,102,155,262,200,114,113,135,134,141,91,103,95,46,27,45,757
WARD 7,2040,BEACON HEIGHTS,125,113,114,127,132,177,163,181,166,173,230,201,167,114,98,99,55,62,390
WARD 2,3111,GRIESBACH,361,307,177,154,154,243,367,387,243,226,165,174,111,166,79,80,27,36,1257
WARD 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2380,KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2160,CLOVER BAR AREA,0,0,2,0,1,2,8,18,9,5,3,3,7,1,0,0,0,0,0
WARD 5,4467,RIVER VALLEY CAMERON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2710,SIFTON PARK,73,79,62,63,50,81,80,78,64,47,78,79,70,67,28,11,9,9,1036
WARD 3,2463,CRYSTALLINA NERA WEST,93,40,56,34,66,169,110,96,70,53,17,49,3,8,9,0,0,0,36
WARD 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4466,CAMERON HEIGHTS,138,178,103,69,48,31,78,120,113,91,65,55,45,32,15,5,2,0,455
WARD 4,4019,ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2090,BERGMAN,42,72,62,78,99,71,65,57,65,100,134,139,99,75,62,43,25,20,245
WARD 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2580,NORTHMOUNT,80,94,85,100,86,89,100,86,90,107,113,117,111,134,120,298,144,156,1082
WARD 1,4090,CANORA,104,103,64,83,111,147,148,140,113,126,151,134,116,87,60,35,24,16,1412
WARD 6,3381,RIVER VALLEY GLENORA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,3410,SHERBROOKE,100,106,103,85,141,149,169,163,138,146,140,163,142,75,60,45,37,43,588
WARD 12,6660,RURAL SOUTH EAST,2,8,5,3,7,12,6,8,3,3,14,21,14,12,5,13,5,3,24
WARD 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6470,MEYONOHK,94,119,99,78,95,97,123,135,92,96,104,103,145,110,64,52,15,11,1228
WARD 2,1170,PRINCE RUPERT,16,10,6,15,17,24,35,19,16,20,24,40,32,23,12,23,6,9,945
WARD 1,4670,WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,7,8,8,6,10,3,11,7,4,0,0,0,0,0,10
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5580,WINDSOR PARK,19,31,30,132,737,615,341,44,58,45,53,58,74,71,31,26,20,23,410
WARD 6,3200,GLENORA,109,180,220,203,166,142,139,166,191,252,269,277,265,222,160,111,46,61,334
